epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.419355,1.20999,0,1,1.4262,0,0,0
2,1.55265,1.3616,0,1,1.44024,1.35826e-05,1.35826e-05,1.35826e-05
3,1.98096,1.20225,0,1,1.43981,2.57506e-05,2.57506e-05,2.57506e-05
4,2.3786,1.25901,0,1,1.42885,3.65038e-05,3.65038e-05,3.65038e-05
5,2.79815,1.1729,0,1,1.40192,4.58423e-05,4.58423e-05,4.58423e-05
6,3.1693,1.14634,0,1,1.37264,5.37661e-05,5.37661e-05,5.37661e-05
7,3.56812,1.16838,0,1,1.34377,6.02752e-05,6.02752e-05,6.02752e-05
8,3.92867,1.22974,0,1,1.2901,6.53696e-05,6.53696e-05,6.53696e-05
9,4.28626,1.11063,0,1,1.25945,6.90493e-05,6.90493e-05,6.90493e-05
10,4.6667,1.10192,0,1,1.21086,7.13142e-05,7.13142e-05,7.13142e-05
11,5.02888,1.02201,0,1,1.15866,7.21645e-05,7.21645e-05,7.21645e-05
12,5.41439,1.00304,0,1,1.10073,7.16e-05,7.16e-05,7.16e-05
13,5.79868,0.9779,0,1,1.04296,6.96209e-05,6.96209e-05,6.96209e-05
14,6.10307,0.99135,0.66667,1,0.99649,6.6227e-05,6.6227e-05,6.6227e-05
15,6.39843,0.88944,0.66667,1,0.95996,6.14184e-05,6.14184e-05,6.14184e-05
16,6.69647,0.90225,0.66667,1,0.92204,5.51951e-05,5.51951e-05,5.51951e-05
17,6.9877,0.81135,0.66667,1,0.89232,4.75571e-05,4.75571e-05,4.75571e-05
18,7.27167,0.71906,0.66667,1,0.89232,3.85044e-05,3.85044e-05,3.85044e-05
19,7.58052,0.8545,1,1,0.86785,2.8037e-05,2.8037e-05,2.8037e-05
20,7.92235,0.95986,1,1,0.86785,1.61548e-05,1.61548e-05,1.61548e-05
